Word	Number of Counts
		474	
jhb		1	
joke		1	
jpam		2	
juba		1	
just		8	
kabumba		1	
kagutamuseveni		2	
kainerugabaadam		1	
kalinaki		1	
kampala		38	
kampalauganda		5	
kampanye		2	
kamphumzen		1	
kandidat		2	
karena		1	
karimmakumbi		1	
kasiitamark		1	
kaskusahay		1	
kasujja		3	
kawowo		2	
kawowosports		2	
keeping		1	
kenya		14	
kenyan		2	
kenyans		1	
kepolisian		1	
key		1	
khabareu		1	
khalidsaminu		1	
kiberujimmy		2	
kickoffuganda		1	
kidding		1	
kigeli		1	
kilimanjarosafaris		1	
kimcoafrica		1	
kindly		3	
kintukenny		1	
kizza		6	
kla		1	
know		1	
kolocelo		1	
koraninggris		1	
korban		1	
koredobelio		1	
kot		3	
kshafic		1	
kuala		1	
la		1	
laced		1	
land		1	
lanka		1	
las		1	
latest		6	
launch		4	
launched		1	
launching		1	
law		1	
lcmuha		1	
leader		4	
leaders		5	
leading		11	
let		1	
life		1	
like		1	
lillian		1	
line		1	
list		3	
literally		1	
live		1	
llev		2	
locked		1	
lokzil		1	
london		2	
look		2	
lord		1	
los		5	
lose		2	
love		2	
luca		1	
lumpur		1	
luxury		1	
m		2	
mak		1	
makaumutuaonjkl		1	
make		2	
makerere		2	
making		1	
malawi		2	
malaysia		1	
malehenry		1	
manusia		1	
map		1	
maritime		1	
markruhindi		1	
martinsotolo		1	
marvins		1	
matsanga		1	
maxwelllucas		1	
maybe		1	
mayor		1	
mbabazi		8	
mbale		2	
mdundomusicug		1	
mdundouganda		1	
me		3	
media		2	
mediating		3	
meetings		4	
megaspenxer		1	
memiliki		1	
menangkap		1	
menjelang		2	
mentally		1	
menzikulati		1	
metaphysically		1	
mexiconoavanza		1	
mgayalums		1	
michigan		1	
midrange		1	
might		2	
milky		1	
million		2	
millions		2	
minions		1	
minister		6	
miralo		2	
mis		1	
miss		1	
mizzflav		1	
mobile		1	
mogen		1	
mom		1	
moment		1	
monaco		1	
money		1	
months		1	
mood		1	
more		4	
morning		1	
mosesbaker		1	
mosesmulindwa		1	
mosheikhz		1	
most		9	
moves		1	
mr		1	
mratugonza		1	
mrbigyemano		1	
msvixxie		2	
mtng		2	
mtnug		2	
mu		1	
mucaaradka		1	
much		1	
muhahami		1	
muraallan		1	
museum		1	
museveni		13	
my		1	
na		1	
nairobi		7	
nakuru		1	
named		6	
names		3	
national		1	
ndi		1	
need		4	
negotiation		1	
network		1	
networks		1	
never		2	
new		2	
news		12	
newszbreaking		1	
newvisionwire		2	
nigeria		6	
nigerianewsdesk		3	
nile		1	
nimule		2	
nios		2	
njeru		1	
no		1	
nonconsequential		1	
north		2	
not		4	
nothern		1	
noticed		1	
now		5	
nrm		1	
ntinda		2	
nu		1	
nuestro		2	
nuwaha		2	
nyirabusizori		1	
observerug		4	
odhis		2	
of		16	
offener		1	
officially		1	
ofwonoopond		1	
oleh		1	
on		11	
one		2	
onenewssource		1	
online		1	
only		5	
onwe		1	
oo		1	
open		1	
opos		1	
opponents		1	
opposition		15	
organising		4	
other		2	
ottoam		1	
our		7	
out		2	
outrugunda		1	
outside		2	
own		1	
owns		1	
paedoabuseliars		1	
paedobritain		1	
pageant		1	
paid		1	
paradise		1	
parliament		1	
participate		3	
partnerin		1	
patrician		1	
patrickkaganda		1	
paulloh		4	
paxkenyana		1	
pearl		1	
pemimpin		1	
people		3	
pepper		1	
permission		3	
peterkipturu		2	
peterls		1	
phoenix		1	
photo		1	
pick		1	
piracy		1	
piracyrewind		2	
pla		1	
place		1	
places		1	
planned		1	
planning		4	
play		1	
pls		3	
pm		1	
podrn		1	
poetry		1	
poets		1	
pojokdunia		1	
pol		6	
pole		2	
police		15	
political		4	
politicians		6	
politics		3	
politik		2	
polls		8	
pols		2	
porridge		1	
portray		1	
post		1	
practise		1	
preelection		5	
presiden		2	
president		5	
presidential		48	
presidents		1	
primates		1	
prime		6	
primeuganda		1	
priorities		1	
prison		2	
problems		1	
push		3	
qu		1	
qualifiers		1	
qualifies		2	
question		1	
quick		1	
r		1	
racheal		1	
radiotamazuj		1	
rallies		1	
ramahnyang		1	
ranking		1	
rankings		1	
rarasathie		1	
rate		6	
rauldemolina		3	
raysal		1	
rd		1	
really		1	
realmv		1	
realron		1	
reception		1	
red		1	
rekadobanks		1	
related		2	
remove		1	
rent		1	
rentals		1	
reports		2	
restdev		1	
restlessdev		1	
reutersafrica		1	
right		1	
rise		1	
rivals		29	
road		1	
robottweets		1	
rogekk		1	
ronitharry		1	
rowsri		2	
rt		77	
rudende		1	
rugby		4	
rugunda		1	
ruskington		1	
russia		1	
rwanda		2	
safariske		1	
samirasawlani		1	
samwyri		1	
sandwiched		1	
sanusee		1	
satgas		1	
saturday		1	
saudis		1	
save		1	
sawiro		1	
scared		1	
school		3	
schudio		1	
sebzo		1	
see		1	
seeking		4	
seem		1	
seems		1	
selling		1	
semanare		1	
sense		1	
sensitive		1	
serve		1	
sevoapp		1	
shd		1	
she		1	
shilling		2	
shillingsntvuganda		1	
shopsschools		1	
should		2	
shs		2	
shut		1	
sie		1	
signal		1	
sinks		1	
situation		1	
siup		3	
skaheru		1	
skin		1	
slowestpoison		2	
small		1	
smayoux		1	
smh		1	
snduhukire		1	
so		9	
sobrabs		1	
social		1	
soll		1	
solve		1	
somalia		1	
somalianewsroom		1	
some		2	
somewhere		1	
somuch		1	
soon		2	
soul		1	
south		3	
southern		2	
southsudan		1	
southsudanrt		1	
southsudanuganda		1	
speeds		2	
spells		1	
sports		1	
squalid		5	
sri		1	
ssesoloy		1	
st		3	
staging		1	
stand		1	
start		1	
startappp		4	
starting		3	
stat		2	
state		1	
steps		1	
still		1	
story		1	
storys		1	
strae		1	
strategies		1	
strongest		1	
struggle		1	
stunning		2	
subsaharas		1	
sudan		3	
support		1	
supporters		3	
suspended		2	
t		1	
tag		1	
talent		3	
tallanddarksama		1	
tanzania		3	
target		1	
techjaja		3	
testrssnews		1	
text		1	
th		2	
than		4	
that		7	
thatd		1	
the		56	
theater		1	
thebikinicalendar		1	
their		6	
thejonathanian		1	
thejunekid		1	
there		4	
theres		1	
thestorysofar		1	
they		4	
thi		2	
things		2	
thinking		1	
this		6	
thisisuganda		1	
thomasmugisha		1	
throw		1	
thrown		5	
ticket		1	
tier		3	
time		2	
tiwasavage		1	
tking		1	
tl		1	
to		40	
today		7	
tool		1	
top		2	
tops		3	
tororo		1	
tot		1	
tourists		2	
